graph,delta,pi,layout_length,runtime_seconds
Crops.json,0.17777156829833984,515,387,337,267,58,90,0,64,0.17566990852355957,SUCCESS
Crops.json,8,3,48,0.17882
EuroVis.json,0.14137911796569824,208,133,176,108,40,72,0,88,0.13964271545410156,SUCCESS
EuroVis.json,8,3,68,0.142891
EuroVis_authors.json,14.82543396949768,2838,2412,1590,1160,202,371,0,287,14.792967319488525,SUCCESS
EuroVis_authors.json,8,3,199,14.838861
HumanBody.json,0.18854022026062012,655,626,562,557,68,73,0,54,0.18674325942993164,SUCCESS
HumanBody.json,8,3,34,0.189367
Music.json,1.9345448017120361,4345,3415,3683,2933,145,225,0,83,1.923192024230957,SUCCESS
Music.json,8,3,68,1.937227
graph_1.json,0.024313688278198242,84,51,67,34,21,36,0,29,0.023933887481689453,SUCCESS
graph_1.json,8,3,20,0.024658
graph_10.json,0.057802677154541016,233,199,162,140,39,51,0,29,0.05705618858337402,SUCCESS
graph_10.json,8,3,20,0.058191
graph_100.json,43.39766788482666,18125,18069,15435,15343,475,501,0,259,43.32269239425659,SUCCESS
graph_100.json,8,3,170,43.409502
graph_101.json,70.96360301971436,37490,37154,33774,33421,614,664,0,252,70.83685541152954,SUCCESS
graph_101.json,8,3,170,70.977901
graph_102.json,87.11575484275818,37100,36992,34020,33928,638,664,0,255,86.98522686958313,SUCCESS
graph_102.json,8,3,170,87.13065
graph_103.json,79.53640294075012,36821,36481,33917,33420,618,664,0,254,79.41140270233154,SUCCESS
graph_103.json,8,3,170,79.550527
graph_104.json,72.06456899642944,37458,37117,34264,33958,617,664,0,239,71.93991684913635,SUCCESS
graph_104.json,8,3,170,72.07782
graph_105.json,79.96461415290833,36450,36321,32767,32545,637,664,0,257,79.8357081413269,SUCCESS
graph_105.json,8,3,170,79.979578
graph_106.json,29.78386950492859,8527,8442,7202,7128,361,396,0,299,29.740408420562744,SUCCESS
graph_106.json,8,3,200,29.79426
graph_107.json,29.605249881744385,7186,7046,6150,6013,348,396,0,291,29.563627243041992,SUCCESS
graph_107.json,8,3,200,29.61528
